baseMean	logFC	lfcSE	stat	P.Value	adj.P.Val	ensGene	entGene	geneSym	AveExpr
115.117984210258	-2.38840042482185	0.11244236846848	-21.241107398866	3.98386960886886e-100	1.58704933283804e-99	ENSG00000000003	7105	TSPAN6	6.85944762211281
2.56531212814835	-3.15655489830095	0.867464266525818	-3.63882988626483	0.000273879633620758	0.000353922216728787	ENSG00000000005	64102	TNMD	1.83402838410815
134.410716073829	-1.38742819652459	0.0893706573278635	-15.5244264505596	2.37114655770244e-54	6.81729920556965e-54	ENSG00000000419	8813	DPM1	7.08119810457257
50.9222122499494	0.103648983718511	0.133058473290684	0.77897319242553	0.435995506428084	0.458468660144752	ENSG00000000457	57147	SCYL3	5.69827994844857
64.6267843238463	-2.73561644746479	0.162629583513041	-16.8211489470206	1.70813667259746e-63	5.29016928320892e-63	ENSG00000000460	55732	C1orf112	6.03621283846082
34.8030478373905	6.18625915813588	0.521440939652235	11.863777252054	1.82549941106434e-32	4.15359040991698e-32	ENSG00000000938	2268	FGR	5.16201050116811
76.0604675616144	0.253770204521844	0.102185878261379	2.48341756062154	0.0130128450924654	0.0154585444239079	ENSG00000000971	3075	CFH	6.26791903441164
287.618185847754	-2.44923748281365	0.0726582252064958	-33.709018846151	4.26429757288038e-249	3.14475616632854e-248	ENSG00000001036	2519	FUCA2	8.17301839676172
217.57753467352	0.262507039277073	0.0607518945884331	4.32096877069334	1.55345660890044e-05	2.10225645009487e-05	ENSG00000001084	2729	GCLC	7.77200131868654
236.783395559355	-0.792832178661617	0.0621119885830908	-12.7645595761437	2.58609220982441e-37	6.21569531133235e-37	ENSG00000001167	4800	NFYA	7.89350416482233
152.985068663189	1.83768502991315	0.0802024602842232	22.91307552662	3.44168410094203e-116	1.49012895130972e-115	ENSG00000001460	90529	STPG1	7.26664665491614
1115.24107638872	2.88733927056505	0.0389534132341037	74.1228824599429	0	0	ENSG00000001461	57185	NIPAL3	10.1244329266592
637.037588991966	-0.340444176719426	0.0364787406654942	-9.33267351088842	1.03233436013204e-20	1.98017829283835e-20	ENSG00000001497	81887	LAS1L	9.31749761040256
117.701813102625	3.63075723901103	0.133585493799318	27.1792777475182	1.14181635022464e-162	6.21270497824844e-162	ENSG00000001561	22875	ENPP4	6.89119816126835
